Code;Name;Modellarten;Status
0;Ersteinrichtung;alle;Gültig
3000;Angaben zur Grundbuchfortführung;DLKM;Gültig
10000;Flurstücksdaten fortführen;DLKM;Veraltet
10000;"Flurstücksdaten fortführen 
Hiermit sind die Flurstücksdaten gemeint, die aufgrund der rechtlichen Vorschriften zwischen dem amtlichen Verzeichnis (§ 2 Abs. 2 GBO) und dem Bestandsverzeichnis des Grundbuchs in Übereinstimmung zu halten sind (Fläche, Lage, Wirtschaftsart und besondere Flurstücksgrenze).";DLKM;Gültig
10100;Veränderungen am Flurstück ohne Änderung der Umfangsgrenzen des Grundstücks;DLKM;Veraltet
10100;"Veränderungen am Flurstück ohne Änderung der Umfangsgrenzen des Grundstücks 
Mit dieser Fortführung werden Flurstücke katastertechnisch zerlegt und / oder verschmolzen ohne das Grundstücke im Rechtssinne in ihrer Form verändert werden. Die Fortführung beinhaltet ein (Zerlegung) oder mehrere alte (Verschmelzung) Flurstücke sowie mehrere oder ein neues Flurstück(e).";DLKM;Gültig
10101;Zerlegung oder Sonderung;DLKM;Gültig
10102;Verschmelzung;DLKM;Gültig
10103;Zerlegung und Verschmelzung;DLKM;Gültig
10104;Flurstückszerlegung mit Eigentumsübergang nach Straßengesetzen;DLKM;Gültig
10105;"Zerlegung 
Mit dieser Fortführung werden Flurstücke infolge einer Vermessung, Sonderung oder Rückführung einer Verschmelzung zerlegt.";DLKM;Gültig
10107;"Sonderung 
Mit dieser Fortführung werden Flurstücke infolge einer Sonderung (Liegenschaftsvermessung mit vorgezogener Flurstücksbestimmung) zerlegt.";DLKM;Gültig
10199;Verschmelzung von Flurstücken auf unterschiedlichen Beständen/Buchungsstellen;DLKM;Gültig
10200;Veränderung am Flurstück mit Änderung der Umfangsgrenzen des Grundstücks;DLKM;Veraltet
10200;"Veränderung am Flurstück mit Änderung der Umfangsgrenzen des Grundstücks 
Mit dieser Fortführung werden Veränderungen am Flurstück aufgrund rechtlicher Vorschriften (z.B. Wasserrecht, Straßenrecht) durchgeführt, die eine Änderung in der Form des Grundstücks zur Folge haben. Die Fortführung beinhaltet ein oder mehrere alte Flurstücke sowie ein oder mehrere neue Flurstücke.";DLKM;Gültig
10201;Veränderung aufgrund der Vorschriften des Straßenrechts;DLKM;Gültig
10202;Veränderung aufgrund der Vorschriften des Wasserrechts;DLKM;Gültig
10203;"Veränderung am Flurstück mit Änderung der Umfangsgrenzen 
Mit dieser Fortführung werden Veränderungen am Flurstück infolge wasserrechtlicher Bestimmungen, rechtskräftiger Urteile und Vergleiche über Grenzstreitigkeiten sowie von Grenzbestimmungen auf der Grundlage einer Vereinbarung der beteiligten Grundstückseigentümer durchgeführt, die eine Änderung in der Form des Flurstücks zur Folge haben.";DLKM;Gültig
10205;Veränderung aufgrund Berichtigung eines Aufnahmefehlers;DLKM;Gültig
10206;Veränderung aufgrund gerichtlicher Entscheidung;DLKM;Gültig
10207;Veränderung aufgrund Berichtigung eines Grenzbestimmungsfehlers;DLKM;Gültig
10300;Veränderung der Bezeichnung oder der Zugehörigkeit des Flurstücks;DLKM;Veraltet
10300;"Veränderung der Bezeichnung oder der Zugehörigkeit des Flurstücks 
Mit dieser Fortführung werden Veränderungen am Flurstück aufgrund von Umnumerierungen, Zuordnungen zu anderen Fluren oder infolge von Umgemarkungen sowie Umgemeindungen durchgeführt. Die Fortführung beinhaltet ein oder mehrere alte Flurstücke sowie ein oder mehrere neue Flurstücke.";DLKM;Gültig
10301;Veränderung der Flurstücksbezeichnung;DLKM;Gültig
10302;Veränderung der Gemarkungszugehörigkeit (1);DLKM;Veraltet
10302;Veränderung der Gemarkungszugehörigkeit;DLKM;Gültig
10303;Veränderung der Gemeindezugehörigkeit ganzer Gemarkungen;DLKM;Gültig
10304;Übernahme von Flurstücken eines anderen Katasteramtes;DLKM;Veraltet
10304;Übernahme von Flurstücken einer anderen Katasterbehörde;DLKM;Gültig
10305;Veränderung der Flurzugehörigkeit;DLKM;Gültig
10306;Abgabe von Flurstücken an ein anderes Katasteramt;DLKM;Veraltet
10306;Abgabe von Flurstücken an eine andere Katasterbehörde;DLKM;Gültig
10307;Eintragung des Flurstückes;DLKM;Gültig
10308;Löschen des Flurstückes;DLKM;Gültig
10309;Veränderung der Gemeindezugehörigkeit einzelner Flurstücke;DLKM;Gültig
10310;Veränderung der Gemeindezugehörigkeit;DLKM;Gültig
10312;"Veränderung der Flurstücksnummer 
Mit dieser Fortführung werden Flurstücksnummern berichtigt.";DLKM;Gültig
10316;Flurstücksbestimmung gemäß § 12 Abs.2 Satz 2 VermGeoG LSA;DLKM;Veraltet
10316;Flurstücksbestimmung gemäß § 12 Abs. 2 Satz 2 VermGeoG LSA;DLKM;Gültig
